id,registrationNumber,ownerName,driverName,driverNIC,contactNumber,districtId,provinceId,deviceId,status,lastLat,lastLng,lastSpeed,lastHeading,lastTimestamp,registeredAt,updatedAt
"19","WP-TUK-0019","Chamari Gunasekara","Ruwan Herath","19962413658","712007989","3","1","DEV-0019","ACTIVE","6.675279","80.113829","30","7","2026-04-03T16:00:00.000Z","2024-02-25T08:00:00Z",""
"20","WP-TUK-0020","Lasith Perera","Thisara Liyanage","19940535408","779098543","3","1","DEV-0020","ACTIVE","6.709446","80.017482","33","257","2026-04-03T16:00:00.000Z","2024-01-10T08:00:00Z",""
"21","WP-TUK-0021","Isuru Fernando","Kumari Ranasinghe","19911559049","785436798","1","1","DEV-0021","INACTIVE","","","","","","2024-02-05T08:00:00Z",""
"22","WP-TUK-0022","Pradeep Pathirana","Buddhika Fernando","19750346638","747500977","1","1","DEV-0022","ACTIVE","6.950013","79.91921","5","183","2026-04-03T16:00:00.000Z","2024-03-20T08:00:00Z",""
"23","WP-TUK-0023","Kumari Bandara","Tharindu Seneviratne","19953223214","755018604","3","1","DEV-0023","INACTIVE","","","","","","2024-07-17T08:00:00Z",""
"24","WP-TUK-0024","Chamari Wickramasinghe","Kamal Ranasinghe","19700253325","702315948","3","1","DEV-0024","ACTIVE","6.3959","80.003143","26","104","2026-04-03T16:00:00.000Z","2024-02-17T08:00:00Z",""
"25","WP-TUK-0025","Isuru Gunasekara","Nadeeka Weerasinghe","19772513972","754885371","2","1","DEV-0025","ACTIVE","7.094405","79.958782","2","283","2026-04-03T16:00:00.000Z","2024-04-03T08:00:00Z",""
"26","WP-TUK-0026","Nadeeka Dissanayake","Dilini Fernando","19700635145","779218363","2","1","DEV-0026","ACTIVE","6.951412","80.143169","16","108","2026-04-03T16:00:00.000Z","2024-02-03T08:00:00Z",""
"27","WP-TUK-0027","Chamara Ranasinghe","Nimal Perera","19742106254","743198268","1","1","DEV-0027","SUSPENDED","","","","","","2024-07-08T08:00:00Z",""
"28","WP-TUK-0028","Tharindu Wickramasinghe","Lasith Pathirana","19861623757","749086790","3","1","DEV-0028","SUSPENDED","","","","","","2024-05-18T08:00:00Z",""
"29","WP-TUK-0029","Asanka Liyanage","Ruwan Ranasinghe","19761009198","715854771","3","1","DEV-0029","SUSPENDED","","","","","","2024-04-09T08:00:00Z",""
"30","WP-TUK-0030","Ruwan Liyanage","Asanka Gunasekara","19723277586","765813140","1","1","DEV-0030","ACTIVE","6.854854","79.711796","26","269","2026-04-03T16:00:00.000Z","2024-01-19T08:00:00Z",""
"31","WP-TUK-0031","Kamal Gunasekara","Tharindu Pathirana","19892912351","722448145","3","1","DEV-0031","ACTIVE","6.488629","79.830535","54","334","2026-04-03T16:00:00.000Z","2024-08-05T08:00:00Z",""
"32","WP-TUK-0032","Kamal Jayasinghe","Chamari Rajapaksa","19733582079","711900282","3","1","DEV-0032","ACTIVE","6.474912","79.817989","3","97","2026-04-03T16:00:00.000Z","2024-06-09T08:00:00Z",""
"33","WP-TUK-0033","Chamari Weerasinghe","Chamara Pathirana","19842118977","721554648","2","1","DEV-0033","SUSPENDED","","","","","","2024-08-24T08:00:00Z",""
"34","WP-TUK-0034","Sunil Fernando","Dinesh Fernando","19961865145","721563950","3","1","DEV-0034","ACTIVE","6.388797","79.765399","4","50","2026-04-03T16:00:00.000Z","2024-07-13T08:00:00Z",""
"35","WP-TUK-0035","Dilini Gunasekara","Pradeep Dissanayake","19930211888","738776244","1","1","DEV-0035","SUSPENDED","","","","","","2024-04-07T08:00:00Z",""
"36","WP-TUK-0036","Kumari Ranasinghe","Ruwan Pathirana","19972477324","773245738","3","1","DEV-0036","SUSPENDED","","","","","","2024-02-02T08:00:00Z",""
"37","WP-TUK-0037","Dinesh Gunasekara","Pradeep Ranasinghe","19933238453","733190078","3","1","DEV-0037","ACTIVE","6.477853","79.967227","53","258","2026-04-03T16:00:00.000Z","2024-04-05T08:00:00Z",""
"38","WP-TUK-0038","Dinesh Bandara","Asanka Jayasinghe","19751551420","778329338","3","1","DEV-0038","ACTIVE","6.576329","80.099685","34","179","2026-04-03T16:00:00.000Z","2024-01-23T08:00:00Z",""
"39","WP-TUK-0039","Lasith Ranasinghe","Sandya Jayasinghe","19731008953","764107912","3","1","DEV-0039","INACTIVE","","","","","","2024-03-10T08:00:00Z",""
"40","WP-TUK-0040","Buddhika Herath","Buddhika Liyanage","19882858087","776792554","3","1","DEV-0040","ACTIVE","6.723783","80.121881","17","212","2026-04-03T16:00:00.000Z","2024-07-07T08:00:00Z",""
"41","CP-TUK-0041","Dinesh Dissanayake","Chamara Liyanage","19741034662","755810076","4","2","DEV-0041","INACTIVE","","","","","","2024-06-22T08:00:00Z",""
"42","CP-TUK-0042","Dilini Pathirana","Chamara Ranasinghe","19980499143","722628103","5","2","DEV-0042","SUSPENDED","","","","","","2024-04-18T08:00:00Z",""
"43","CP-TUK-0043","Gayan Wickramasinghe","Buddhika Ranasinghe","19970676346","716671142","6","2","DEV-0043","SUSPENDED","","","","","","2024-06-18T08:00:00Z",""
"44","CP-TUK-0044","Sunil Rajapaksa","Dinesh Rajapaksa","19710827716","778609992","4","2","DEV-0044","ACTIVE","7.173661","80.498589","51","32","2026-04-03T16:00:00.000Z","2024-04-08T08:00:00Z",""
"45","CP-TUK-0045","Sunil Jayasinghe","Kamal Liyanage","19841795951","712593634","5","2","DEV-0045","SUSPENDED","","","","","","2024-03-21T08:00:00Z",""
"46","CP-TUK-0046","Kumari Perera","Ruwan Dissanayake","19991169532","785967686","6","2","DEV-0046","ACTIVE","6.894792","80.887669","1","185","2026-04-03T16:00:00.000Z","2024-02-02T08:00:00Z",""
"47","CP-TUK-0047","Ruwan Liyanage","Buddhika Weerasinghe","19833035147","718577947","4","2","DEV-0047","ACTIVE","7.118895","80.522483","52","40","2026-04-03T16:00:00.000Z","2024-08-26T08:00:00Z",""
"48","CP-TUK-0048","Nimal Herath","Chamara Silva","19792143998","709362820","5","2","DEV-0048","ACTIVE","7.518876","80.48169","58","131","2026-04-03T16:00:00.000Z","2024-05-09T08:00:00Z",""
"49","CP-TUK-0049","Dinesh Gunasekara","Chamari Ranasinghe","19940131244","785088674","6","2","DEV-0049","INACTIVE","","","","","","2024-04-13T08:00:00Z",""
"50","CP-TUK-0050","Nuwan Fernando","Nimal Weerasinghe","19921426461","752674346","6","2","DEV-0050","INACTIVE","","","","","","2024-03-04T08:00:00Z",""
"51","CP-TUK-0051","Dinesh Silva","Asanka Bandara","19740658080","711668892","4","2","DEV-0051","SUSPENDED","","","","","","2024-04-15T08:00:00Z",""
"52","CP-TUK-0052","Sandya Herath","Sandya Pathirana","19872965786","767057546","6","2","DEV-0052","SUSPENDED","","","","","","2024-01-08T08:00:00Z",""
"53","CP-TUK-0053","Isuru Seneviratne","Tharindu Seneviratne","19981904349","716411821","6","2","DEV-0053","SUSPENDED","","","","","","2024-08-21T08:00:00Z",""
"54","CP-TUK-0054","Sandya Fernando","Buddhika Weerasinghe","19852753639","786249356","5","2","DEV-0054","ACTIVE","7.525216","80.773583","12","184","2026-04-03T16:00:00.000Z","2024-04-14T08:00:00Z",""
"55","CP-TUK-0055","Thisara Jayasinghe","Asanka Fernando","19922905382","765147805","4","2","DEV-0055","ACTIVE","7.151992","80.523886","46","162","2026-04-03T16:00:00.000Z","2024-07-20T08:00:00Z",""
"56","CP-TUK-0056","Chamari Dissanayake","Sandya Dissanayake","19860951849","758962634","5","2","DEV-0056","ACTIVE","7.577795","80.452095","21","191","2026-04-03T16:00:00.000Z","2024-03-09T08:00:00Z",""
"57","CP-TUK-0057","Chamari Pathirana","Chamara Seneviratne","19851624278","786667790","6","2","DEV-0057","ACTIVE","6.835772","80.664382","7","80","2026-04-03T16:00:00.000Z","2024-01-26T08:00:00Z",""
"58","CP-TUK-0058","Gayan Seneviratne","Lasith Weerasinghe","19802435467","756057509","6","2","DEV-0058","INACTIVE","","","","","","2024-07-20T08:00:00Z",""
"59","CP-TUK-0059","Chamari Jayasinghe","Sunil Seneviratne","19823029350","709479106","5","2","DEV-0059","SUSPENDED","","","","","","2024-02-18T08:00:00Z",""
"60","CP-TUK-0060","Lasith Liyanage","Kumari Pathirana","19892454607","768285381","4","2","DEV-0060","INACTIVE","","","","","","2024-01-06T08:00:00Z",""
"61","CP-TUK-0061","Kumari Jayasinghe","Nadeeka Fernando","19992325588","711442822","4","2","DEV-0061","ACTIVE","7.474261","80.579469","5","75","2026-04-03T16:00:00.000Z","2024-04-04T08:00:00Z",""
"62","CP-TUK-0062","Kamal Seneviratne","Dinesh Seneviratne","19802591996","762258825","5","2","DEV-0062","ACTIVE","7.369074","80.609401","32","284","2026-04-03T16:00:00.000Z","2024-02-18T08:00:00Z",""
"63","CP-TUK-0063","Gayan Herath","Gayan Perera","19780928249","713384710","6","2","DEV-0063","INACTIVE","","","","","","2024-02-08T08:00:00Z",""
"64","CP-TUK-0064","Dilini Jayasinghe","Dilini Perera","19993052498","702343401","6","2","DEV-0064","ACTIVE","7.039297","80.841453","13","223","2026-04-03T16:00:00.000Z","2024-05-03T08:00:00Z",""
"65","CP-TUK-0065","Sunil Rajapaksa","Lasith Rajapaksa","19932508504","761377224","6","2","DEV-0065","ACTIVE","7.058646","80.89681","2","13","2026-04-03T16:00:00.000Z","2024-06-14T08:00:00Z",""
"66","SP-TUK-0066","Buddhika Liyanage","Dilini Rajapaksa","19851478190","716453355","8","3","DEV-0066","ACTIVE","5.795644","80.626231","1","61","2026-04-03T16:00:00.000Z","2024-05-06T08:00:00Z",""
"67","SP-TUK-0067","Thisara Dissanayake","Lasith Ranasinghe","19922419451","728482598","8","3","DEV-0067","INACTIVE","","","","","","2024-08-02T08:00:00Z",""
"68","SP-TUK-0068","Lasith Gunasekara","Nadeeka Seneviratne","19980537186","725821720","8","3","DEV-0068","ACTIVE","5.812117","80.412915","2","108","2026-04-03T16:00:00.000Z","2024-03-26T08:00:00Z",""
"69","SP-TUK-0069","Sunil Wickramasinghe","Asanka Fernando","19752562640","779709810","9","3","DEV-0069","ACTIVE","6.139297","81.22024","17","29","2026-04-03T16:00:00.000Z","2024-07-02T08:00:00Z",""
"70","SP-TUK-0070","Nuwan Gunasekara","Pradeep Liyanage","19902408069","756282948","8","3","DEV-0070","INACTIVE","","","","","","2024-07-14T08:00:00Z",""
"71","SP-TUK-0071","Gayan Herath","Gayan Gunasekara","19701131412","755300166","7","3","DEV-0071","ACTIVE","6.098675","80.303849","36","256","2026-04-03T16:00:00.000Z","2024-01-21T08:00:00Z",""
"72","SP-TUK-0072","Nuwan Silva","Sunil Herath","19793491654","775094606","9","3","DEV-0072","ACTIVE","6.343274","81.336973","36","309","2026-04-03T16:00:00.000Z","2024-01-22T08:00:00Z",""
"73","SP-TUK-0073","Nimal Rajapaksa","Sunil Wickramasinghe","19862548105","703858736","7","3","DEV-0073","ACTIVE","5.949313","80.104598","8","39","2026-04-03T16:00:00.000Z","2024-03-26T08:00:00Z",""
"74","SP-TUK-0074","Sunil Liyanage","Dilini Liyanage","19841442407","708043993","8","3","DEV-0074","ACTIVE","6.080839","80.603967","38","28","2026-04-03T16:00:00.000Z","2024-04-16T08:00:00Z",""
"75","SP-TUK-0075","Isuru Liyanage","Tharindu Herath","19723374166","764001918","9","3","DEV-0075","ACTIVE","6.038166","81.181909","19","166","2026-04-03T16:00:00.000Z","2024-04-22T08:00:00Z",""
"76","SP-TUK-0076","Asanka Gunasekara","Isuru Wickramasinghe","19702219044","778295849","8","3","DEV-0076","ACTIVE","5.829837","80.718853","56","97","2026-04-03T16:00:00.000Z","2024-06-02T08:00:00Z",""
"77","SP-TUK-0077","Lasith Ranasinghe","Chamara Herath","19931649003","754129701","9","3","DEV-0077","ACTIVE","5.981568","81.113584","7","204","2026-04-03T16:00:00.000Z","2024-07-26T08:00:00Z",""
"78","SP-TUK-0078","Gayan Gunasekara","Thisara Bandara","19903081739","728518039","8","3","DEV-0078","INACTIVE","","","","","","2024-05-09T08:00:00Z",""
"79","SP-TUK-0079","Buddhika Ranasinghe","Asanka Rajapaksa","19860684559","734892784","9","3","DEV-0079","ACTIVE","6.328898","81.321972","2","142","2026-04-03T16:00:00.000Z","2024-01-10T08:00:00Z",""
"80","SP-TUK-0080","Sandya Perera","Lasith Jayasinghe","19941349004","755821537","7","3","DEV-0080","ACTIVE","6.110947","80.258048","15","298","2026-04-03T16:00:00.000Z","2024-05-10T08:00:00Z",""
"81","SP-TUK-0081","Thisara Bandara","Tharindu Bandara","19791539452","777278815","7","3","DEV-0081","ACTIVE","6.121923","80.406317","34","273","2026-04-03T16:00:00.000Z","2024-01-17T08:00:00Z",""
"82","SP-TUK-0082","Nadeeka Dissanayake","Ruwan Seneviratne","19903573877","781815061","8","3","DEV-0082","INACTIVE","","","","","","2024-02-10T08:00:00Z",""
"83","SP-TUK-0083","Chamari Pathirana","Gayan Seneviratne","19943261868","755195762","9","3","DEV-0083","ACTIVE","6.122023","81.105462","36","254","2026-04-03T16:00:00.000Z","2024-01-03T08:00:00Z",""
"84","SP-TUK-0084","Isuru Weerasinghe","Buddhika Liyanage","19992755723","703293728","7","3","DEV-0084","ACTIVE","5.960745","80.203016","30","150","2026-04-03T16:00:00.000Z","2024-05-18T08:00:00Z",""
"85","SP-TUK-0085","Sandya Wickramasinghe","Buddhika Wickramasinghe","19880399064","732797246","8","3","DEV-0085","ACTIVE","6.059246","80.445183","35","80","2026-04-03T16:00:00.000Z","2024-07-12T08:00:00Z",""
"86","SP-TUK-0086","Isuru Seneviratne","Dilini Herath","19801927124","718643198","9","3","DEV-0086","ACTIVE","5.935257","81.297982","40","48","2026-04-03T16:00:00.000Z","2024-05-07T08:00:00Z",""
"87","SP-TUK-0087","Chamara Dissanayake","Nimal Silva","19942972069","754428158","9","3","DEV-0087","ACTIVE","6.145868","81.085157","30","61","2026-04-03T16:00:00.000Z","2024-06-17T08:00:00Z",""
"88","SP-TUK-0088","Chamari Herath","Chamari Herath","19731999896","737712640","7","3","DEV-0088","ACTIVE","5.92858","80.165621","15","93","2026-04-03T16:00:00.000Z","2024-05-26T08:00:00Z",""
"89","SP-TUK-0089","Isuru Weerasinghe","Kumari Liyanage","19761585685","782386067","7","3","DEV-0089","SUSPENDED","","","","","","2024-04-07T08:00:00Z",""
"90","SP-TUK-0090","Ruwan Rajapaksa","Nimal Jayasinghe","19842219657","715237541","7","3","DEV-0090","ACTIVE","6.175045","80.176306","33","151","2026-04-03T16:00:00.000Z","2024-05-17T08:00:00Z",""
"91","NP-TUK-0091","Isuru Perera","Isuru Ranasinghe","19831276205","747646343","10","4","DEV-0091","ACTIVE","9.668225","80.156597","24","141","2026-04-03T16:00:00.000Z","2024-04-21T08:00:00Z",""
"92","NP-TUK-0092","Chamari Perera","Sunil Ranasinghe","19790522402","733661892","10","4","DEV-0092","ACTIVE","9.519801","80.159031","11","58","2026-04-03T16:00:00.000Z","2024-04-21T08:00:00Z",""
"93","NP-TUK-0093","Ruwan Liyanage","Nadeeka Wickramasinghe","19962847013","703892870","14","4","DEV-0093","ACTIVE","9.273313","80.72107","50","339","2026-04-03T16:00:00.000Z","2024-06-06T08:00:00Z",""
"94","NP-TUK-0094","Pradeep Liyanage","Chamara Silva","19872986510","751942627","12","4","DEV-0094","SUSPENDED","","","","","","2024-05-04T08:00:00Z",""
"95","NP-TUK-0095","Dilini Liyanage","Dilini Liyanage","19972603704","702498500","11","4","DEV-0095","SUSPENDED","","","","","","2024-05-06T08:00:00Z",""
"96","NP-TUK-0096","Dilini Pathirana","Gayan Perera","19802619801","714227323","13","4","DEV-0096","ACTIVE","8.607636","80.69129","29","69","2026-04-03T16:00:00.000Z","2024-02-21T08:00:00Z",""
"97","NP-TUK-0097","Thisara Gunasekara","Kumari Herath","19701366050","745233201","12","4","DEV-0097","ACTIVE","8.959271","80.021911","41","33","2026-04-03T16:00:00.000Z","2024-02-21T08:00:00Z",""
"98","NP-TUK-0098","Dinesh Wickramasinghe","Dinesh Bandara","19992891975","761216244","14","4","DEV-0098","SUSPENDED","","","","","","2024-01-04T08:00:00Z",""
"99","NP-TUK-0099","Dilini Pathirana","Kumari Rajapaksa","19912751648","761492491","14","4","DEV-0099","ACTIVE","9.412579","80.674416","52","83","2026-04-03T16:00:00.000Z","2024-01-24T08:00:00Z",""
"100","NP-TUK-0100","Chamara Silva","Chamara Herath","19952109493","761240187","10","4","DEV-0100","SUSPENDED","","","","","","2024-01-04T08:00:00Z",""
"101","NP-TUK-0101","Dinesh Pathirana","Nadeeka Fernando","19711662312","719832874","11","4","DEV-0101","ACTIVE","9.219047","80.522441","24","126","2026-04-03T16:00:00.000Z","2024-04-03T08:00:00Z",""
"102","NP-TUK-0102","Isuru Gunasekara","Chamara Fernando","19803546271","783948183","13","4","DEV-0102","ACTIVE","8.6226","80.611506","7","231","2026-04-03T16:00:00.000Z","2024-05-15T08:00:00Z",""
"103","NP-TUK-0103","Nuwan Bandara","Kamal Fernando","19711248605","744928484","11","4","DEV-0103","ACTIVE","9.417711","80.342871","2","59","2026-04-03T16:00:00.000Z","2024-06-01T08:00:00Z",""
"104","NP-TUK-0104","Tharindu Seneviratne","Kamal Silva","19761473618","782694918","14","4","DEV-0104","ACTIVE","9.077197","80.637514","52","350","2026-04-03T16:00:00.000Z","2024-03-04T08:00:00Z",""
"105","NP-TUK-0105","Chamari Liyanage","Asanka Dissanayake","19921074199","738411801","14","4","DEV-0105","ACTIVE","9.139163","80.966188","6","310","2026-04-03T16:00:00.000Z","2024-04-07T08:00:00Z",""
"106","NP-TUK-0106","Thisara Perera","Sandya Wickramasinghe","19833125033","704861632","12","4","DEV-0106","ACTIVE","8.968627","79.967587","58","311","2026-04-03T16:00:00.000Z","2024-04-23T08:00:00Z",""
"107","NP-TUK-0107","Tharindu Bandara","Isuru Fernando","19862723148","764131995","11","4","DEV-0107","ACTIVE","9.534547","80.561374","29","355","2026-04-03T16:00:00.000Z","2024-05-07T08:00:00Z",""
"108","NP-TUK-0108","Buddhika Seneviratne","Chamari Weerasinghe","19903204838","739509229","10","4","DEV-0108","ACTIVE","9.54115","79.849046","14","50","2026-04-03T16:00:00.000Z","2024-01-24T08:00:00Z",""
"109","NP-TUK-0109","Kamal Wickramasinghe","Sunil Bandara","19790732514","719270427","12","4","DEV-0109","ACTIVE","8.969092","79.940404","21","301","2026-04-03T16:00:00.000Z","2024-01-08T08:00:00Z",""
"110","NP-TUK-0110","Lasith Wickramasinghe","Pradeep Silva","19710818609","788167784","11","4","DEV-0110","INACTIVE","","","","","","2024-04-04T08:00:00Z",""
"111","EP-TUK-0111","Nuwan Perera","Chamari Bandara","19990206970","717104972","15","5","DEV-0111","ACTIVE","7.086351","81.807694","31","129","2026-04-03T16:00:00.000Z","2024-04-15T08:00:00Z",""
"112","EP-TUK-0112","Gayan Bandara","Nimal Perera","19862376120","763293669","17","5","DEV-0112","SUSPENDED","","","","","","2024-07-10T08:00:00Z",""
"113","EP-TUK-0113","Pradeep Fernando","Sunil Weerasinghe","19740799821","749986759","15","5","DEV-0113","ACTIVE","7.15728","81.503385","7","177","2026-04-03T16:00:00.000Z","2024-05-10T08:00:00Z",""
"114","EP-TUK-0114","Asanka Rajapaksa","Nimal Herath","19781923094","702316939","15","5","DEV-0114","ACTIVE","7.470288","81.915536","10","138","2026-04-03T16:00:00.000Z","2024-04-22T08:00:00Z",""
"115","EP-TUK-0115","Asanka Perera","Chamara Perera","19781488658","736708775","16","5","DEV-0115","SUSPENDED","","","","","","2024-06-27T08:00:00Z",""
"116","EP-TUK-0116","Isuru Gunasekara","Asanka Weerasinghe","19762239449","762894707","17","5","DEV-0116","INACTIVE","","","","","","2024-07-04T08:00:00Z",""
"117","EP-TUK-0117","Nimal Dissanayake","Buddhika Dissanayake","19843039212","721080285","16","5","DEV-0117","SUSPENDED","","","","","","2024-07-08T08:00:00Z",""
"118","EP-TUK-0118","Kumari Ranasinghe","Sandya Wickramasinghe","19922938911","717754031","17","5","DEV-0118","ACTIVE","8.509812","81.263852","57","48","2026-04-03T16:00:00.000Z","2024-06-02T08:00:00Z",""
"119","EP-TUK-0119","Chamara Liyanage","Pradeep Pathirana","19842909573","731963077","17","5","DEV-0119","ACTIVE","8.804252","81.07799","42","137","2026-04-03T16:00:00.000Z","2024-05-18T08:00:00Z",""
"120","EP-TUK-0120","Kumari Jayasinghe","Isuru Bandara","19810449088","746776366","15","5","DEV-0120","ACTIVE","7.527341","81.582989","9","15","2026-04-03T16:00:00.000Z","2024-07-18T08:00:00Z",""
"121","EP-TUK-0121","Tharindu Seneviratne","Chamari Wickramasinghe","19890054615","757873026","16","5","DEV-0121","INACTIVE","","","","","","2024-02-20T08:00:00Z",""
"122","EP-TUK-0122","Kumari Gunasekara","Nuwan Perera","19873229131","786535519","15","5","DEV-0122","SUSPENDED","","","","","","2024-02-12T08:00:00Z",""
"123","EP-TUK-0123","Gayan Gunasekara","Dinesh Silva","19761454920","701145949","17","5","DEV-0123","ACTIVE","8.618786","81.44885","14","142","2026-04-03T16:00:00.000Z","2024-04-24T08:00:00Z",""
"124","EP-TUK-0124","Dinesh Bandara","Asanka Dissanayake","19801207004","746035207","17","5","DEV-0124","INACTIVE","","","","","","2024-04-14T08:00:00Z",""
"125","EP-TUK-0125","Ruwan Herath","Kumari Herath","19831988044","769663314","15","5","DEV-0125","ACTIVE","7.110963","81.768549","33","121","2026-04-03T16:00:00.000Z","2024-08-23T08:00:00Z",""
"126","EP-TUK-0126","Kumari Fernando","Nuwan Seneviratne","19992271707","767292166","15","5","DEV-0126","INACTIVE","","","","","","2024-07-24T08:00:00Z",""
"127","EP-TUK-0127","Dinesh Gunasekara","Nuwan Weerasinghe","19882993200","702859359","17","5","DEV-0127","ACTIVE","8.783705","81.182549","48","138","2026-04-03T16:00:00.000Z","2024-07-16T08:00:00Z",""
"128","EP-TUK-0128","Chamari Rajapaksa","Ruwan Rajapaksa","19711806527","729402711","17","5","DEV-0128","ACTIVE","8.768845","81.179073","7","286","2026-04-03T16:00:00.000Z","2024-04-04T08:00:00Z",""
"129","EP-TUK-0129","Chamari Perera","Dilini Seneviratne","19712449251","721394801","16","5","DEV-0129","ACTIVE","7.635957","81.783585","57","96","2026-04-03T16:00:00.000Z","2024-04-25T08:00:00Z",""
"130","EP-TUK-0130","Chamari Rajapaksa","Dinesh Dissanayake","19723434078","747614991","16","5","DEV-0130","ACTIVE","7.906206","81.498409","45","118","2026-04-03T16:00:00.000Z","2024-08-19T08:00:00Z",""
"131","NWP-TUK-0131","Pradeep Wickramasinghe","Isuru Herath","19911998882","756692309","18","6","DEV-0131","ACTIVE","7.407299","80.427335","57","94","2026-04-03T16:00:00.000Z","2024-07-02T08:00:00Z",""
"132","NWP-TUK-0132","Kumari Seneviratne","Chamari Liyanage","19791371566","728623431","18","6","DEV-0132","INACTIVE","","","","","","2024-07-06T08:00:00Z",""
"133","NWP-TUK-0133","Dinesh Perera","Ruwan Pathirana","19792837421","736087417","19","6","DEV-0133","SUSPENDED","","","","","","2024-01-03T08:00:00Z",""
"134","NWP-TUK-0134","Ruwan Perera","Chamari Herath","19981077110","758831417","19","6","DEV-0134","SUSPENDED","","","","","","2024-07-14T08:00:00Z",""
"135","NWP-TUK-0135","Chamari Fernando","Ruwan Silva","19933622067","788306442","18","6","DEV-0135","INACTIVE","","","","","","2024-03-15T08:00:00Z",""
"136","NWP-TUK-0136","Ruwan Herath","Thisara Herath","19740155857","706233259","19","6","DEV-0136","ACTIVE","8.171244","79.970551","15","215","2026-04-03T16:00:00.000Z","2024-08-27T08:00:00Z",""
"137","NWP-TUK-0137","Buddhika Perera","Nadeeka Dissanayake","19852935665","718944022","19","6","DEV-0137","INACTIVE","","","","","","2024-01-20T08:00:00Z",""
